"","fiscal_yr","years_in_care","Movement Rate","Lower Limit","Upper Limit"
"3",2000,2,341.931407399129,263.052207117264,397.759771276878
"6",2001,2,377.603225106659,263.052207117264,397.759771276878
"9",2002,2,389.291373749779,263.052207117264,397.759771276878
"12",2003,2,344.314276032337,263.052207117264,397.759771276878
"15",2004,2,307.216133128383,263.052207117264,397.759771276878
"18",2005,2,313.873737646487,263.052207117264,397.759771276878
"21",2006,2,332.921743114987,263.052207117264,397.759771276878
"24",2007,2,293.888694592673,263.052207117264,397.759771276878
"27",2008,2,298.500712331245,263.052207117264,397.759771276878
"30",2009,2,317.935691328921,263.052207117264,397.759771276878
"33",2010,2,298.723448240219,263.052207117264,397.759771276878
"36",2011,2,334.137090962589,263.052207117264,397.759771276878
"39",2012,2,360.454922949155,263.052207117264,397.759771276878
"42",2013,2,314.891392176434,263.052207117264,397.759771276878
"45",2014,2,298.349319652018,263.052207117264,397.759771276878
"2",2000,1,398.196883495927,262.710054688676,403.226577027244
"5",2001,1,363.943687708905,262.710054688676,403.226577027244
"8",2002,1,352.352090118304,262.710054688676,403.226577027244
"11",2003,1,347.121950991384,262.710054688676,403.226577027244
"14",2004,1,331.997485462831,262.710054688676,403.226577027244
"17",2005,1,353.156097812968,262.710054688676,403.226577027244
"20",2006,1,351.642369613006,262.710054688676,403.226577027244
"23",2007,1,291.380533981067,262.710054688676,403.226577027244
"26",2008,1,317.878411260509,262.710054688676,403.226577027244
"29",2009,1,320.591914588587,262.710054688676,403.226577027244
"32",2010,1,279.576723465806,262.710054688676,403.226577027244
"35",2011,1,341.459832574533,262.710054688676,403.226577027244
"38",2012,1,305.17960052886,262.710054688676,403.226577027244
"41",2013,1,307.078840408754,262.710054688676,403.226577027244
"44",2014,1,303.621414197915,262.710054688676,403.226577027244
"1",2000,0,580.857928825679,397.676111133726,595.283240534479
"4",2001,0,589.487914612402,397.676111133726,595.283240534479
"7",2002,0,546.275000907754,397.676111133726,595.283240534479
"10",2003,0,514.788709729329,397.676111133726,595.283240534479
"13",2004,0,504.571662447995,397.676111133726,595.283240534479
"16",2005,0,509.2582918653,397.676111133726,595.283240534479
"19",2006,0,495.341028082364,397.676111133726,595.283240534479
"22",2007,0,492.044202215421,397.676111133726,595.283240534479
"25",2008,0,493.778124171767,397.676111133726,595.283240534479
"28",2009,0,452.672358579869,397.676111133726,595.283240534479
"31",2010,0,426.805940783451,397.676111133726,595.283240534479
"34",2011,0,426.991235120756,397.676111133726,595.283240534479
"37",2012,0,439.749791343211,397.676111133726,595.283240534479
"40",2013,0,478.093272992131,397.676111133726,595.283240534479
"43",2014,0,489.838906016718,397.676111133726,595.283240534479
